Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
1	100	0.249335	0.104791	0.0347146	0.0656239	0	0	0.0125172
2	100	0.625053	0.045712	0.350641	0.0437693	0	0	0.0160913
4	100	0.721759	0.0401326	0.538952	0.0402522	0	0	0.017805
8	100	0.862981	0.0151918	0.73841	0.0194825	0	0	0.018481
16	100	0.841396	0.0200704	0.712662	0.0239878	0	0	0.0379463
32	100	0.884618	0.0125795	0.768756	0.0166128	0.000240175	7.49707e-05	0.0689194
64	100	0.927087	0.00710196	0.846565	0.0104849	0.0170306	0.000926855	0.0925311
128	100	0.940545	0.00349713	0.885939	0.00520295	0.0126638	0.000689071	0.123741
256	100	0.951732	0.00212494	0.910692	0.00303073	0.0120742	0.000546685	0.162182
512	100	0.956873	0.00171663	0.922042	0.00208879	0.0133406	0.000392886	0.1966
1024	100	0.956173	0.00167078	0.923298	0.00174987	0.0131878	0.000371718	0.217327
2048	100	0.953326	0.00188507	0.919176	0.00214026	0.014083	0.000412398	0.263816
4096	100	0.95496	0.00172439	0.921759	0.00194865	0.0137555	0.000410225	0.29867
8192	100	0.957146	0.00172105	0.922413	0.00208029	0.0152183	0.000480801	0.398487
16384	100	0.95496	0.00172973	0.921928	0.00194218	0.0144978	0.000368627	0.475201
32768	100	0.952315	0.00183353	0.919488	0.00198928	0.0146725	0.000338365	0.673516
65536	100	0.956562	0.00165998	0.923326	0.00190866	0.0153275	0.000469285	1.12385
